lat,long
41.14250000000001,-8.604999999999896
41.14250000000001,-8.604499999999895
41.14250000000001,-8.603999999999894
41.14250000000001,-8.603499999999894
41.14250000000001,-8.602999999999893
41.14250000000001,-8.602499999999893
41.14250000000001,-8.601999999999892
41.14250000000001,-8.601499999999891
41.14250000000001,-8.60099999999989
41.14250000000001,-8.60049999999989
41.14250000000001,-8.59999999999989
41.14250000000001,-8.599499999999889
41.14250000000001,-8.598999999999888
41.14250000000001,-8.598499999999888
41.14250000000001,-8.597999999999887
41.14250000000001,-8.597499999999886
41.14250000000001,-8.596999999999886
41.14250000000001,-8.596499999999885
41.14250000000001,-8.595999999999885
41.14250000000001,-8.595499999999884
41.14250000000001,-8.594999999999883
41.14250000000001,-8.594499999999883
41.14250000000001,-8.593999999999882
41.14250000000001,-8.593499999999882
41.14250000000001,-8.592999999999881
41.14250000000001,-8.59249999999988
41.14250000000001,-8.59199999999988
41.14250000000001,-8.59149999999988
41.14250000000001,-8.590999999999879
41.14250000000001,-8.590499999999878
41.14250000000001,-8.589999999999877
41.14250000000001,-8.589499999999877
41.14250000000001,-8.588999999999876
41.14250000000001,-8.588499999999875
41.14250000000001,-8.587999999999875
41.14250000000001,-8.587499999999874
41.14250000000001,-8.586999999999874
41.14250000000001,-8.586499999999873
41.14250000000001,-8.585999999999872
41.14250000000001,-8.585499999999872
41.14250000000001,-8.584999999999871
41.14250000000001,-8.58449999999987
41.14250000000001,-8.58399999999987
41.14250000000001,-8.58349999999987
41.14250000000001,-8.582999999999869
41.14250000000001,-8.582499999999868
41.14250000000001,-8.581999999999868
41.14250000000001,-8.581499999999867
41.14250000000001,-8.580999999999866
41.14250000000001,-8.580499999999866
41.14250000000001,-8.579999999999865
41.14250000000001,-8.579499999999864
41.14250000000001,-8.578999999999864
41.14250000000001,-8.578499999999863
41.14250000000001,-8.577999999999863
41.14250000000001,-8.577499999999862
41.14250000000001,-8.576999999999861
41.14250000000001,-8.57649999999986
41.14250000000001,-8.57599999999986
41.14250000000001,-8.57549999999986
41.14250000000001,-8.574999999999859
41.14250000000001,-8.574499999999858
41.143000000000015,-8.662999999999967
41.143000000000015,-8.662499999999966
