,objectid,codigo,coord_x,coord_y,tipo,n_policia,observacao,fotos,morada,concelho,freguesia,zonam_and,descricao,name,cod_gis,cod_topo,cod_freg,n_ordem,cod_sgr,x,y
102,5141,ARCO1,160713.64999586,471721.15477915,postalete, , ,D:\SIG\FOTOS\ARCO1.TIF,RUA DO ARCO,MAIA,GUEIFÃES,C5,ARCO,Arco,,,,,,-8.60160264521808,41.213717380389326
103,5142,ARCO2,160713.91536613,471736.00307747,postalete, , ,D:\SIG\FOTOS\ARCO2.TIF,RUA DO ARCO,MAIA,GUEIFÃES,C5,ARCO,Arco,,,,,,-8.601600436451172,41.21385108635753
104,5143,ARDG1,163561.22963405,473063.27238762,postalete, , ,D:\SIG\FOTOS\ARDG1.TIF,RUA CENTRAL DE ARDEGAES,MAIA,ÁGUAS SANTAS,C9,ARDEGÃES,Ardegães,,,,,,-8.567729566640732,41.22593512420159
105,5144,ARDG2,163548.3357147,473069.30120285,postalete, , ,D:\SIG\FOTOS\ARDG2.TIF,RUA CENTRAL DE ARDEGAES,MAIA,ÁGUAS SANTAS,C9,ARDEGÃES,Ardegães,,,,,,-8.567883698135281,41.22598882569862
106,5145,ARJ1,157744.36115806,472356.31547588,com painel abrigo, , ,D:\SIG\FOTOS\ARJ 1.TIF,RUA ARAUJO,MATOSINHOS,LEÇA DO BALIO,C5,ARAÚJO,Araújo,,,,,,-8.637051398955379,41.21928603268974
107,5146,ARJ2,157732.74861275,472354.54381837,com painel abrigo, , ,D:\SIG\FOTOS\ARJ 2.TIF,RUA ARAUJO,MATOSINHOS,LEÇA DO BALIO,C5,ARAÚJO,Araújo,,,,,,-8.63718975311947,41.21926947054137
108,5147,ARNH1,162593.6440568,464019.18883048,com painel abrigo,196,1,D:\SIG\FOTOS\ARNH1.TIF,AVENIDA PAIVA COUCEIRO,PORTO,CAMPANHÃ,C6,AREINHO,Areinho,03011300012,APCOU0,03,00012,0113,-8.578714730130168,41.144458322388616
109,5148,ARNH2,162603.2683191,464010.53706292,com painel abrigo, ,1,D:\SIG\FOTOS\ARNH2.TIF,AVENIDA PAIVA COUCEIRO,PORTO,CAMPANHÃ,C6,AREINHO,Areinho,03011300013,APCOU0,03,00013,0113,-8.578599564988679,41.14438086685544
110,5149,ARR,159999.56650436,461024.10122021,postalete, , ,D:\SIG\FOTOS\ARR.TIF,TRAVESSA RASA,VILA NOVA DE GAIA,MAFAMUDE,S8,ANTÓNIO R.ROCHA,António R. Rocha,,,,,,-8.609416922541092,41.1173664337625
111,5150,ARRB1,157853.04767574,463699.29934631,com painel abrigo, , ,D:\SIG\FOTOS\ARRB1.TIF,RUA CAMILO C  BRANCO,VILA NOVA DE GAIA,S. PEDRO DA AFURADA,S8,ARRÁBIDASHOPPING,Arrábidashopping,,,,,,-8.63515802478718,41.141344988153996
112,5151,ARRG1,162104.67427361,472016.10357456,postalete, , ,D:\SIG\FOTOS\ARRG1.TIF,RUA GENERAL HUMBERTO DELGADO,MAIA,MILHEIRÓS,C9,ARREGADAS,Arregadas,,,,,,-8.585034971451948,41.2164395488351
113,5152,ARRG2,162181.39212818,472068.31250956,abrigo, , ,D:\SIG\FOTOS\ARRG2.TIF,RUA DA AGRELA,MAIA,MILHEIRÓS,C9,ARREGADAS,Arregadas,,,,,,-8.584123422933608,41.21691322613518
114,5153,ARRV1,162985.02861005,472391.33680445,postalete, , ,D:\SIG\FOTOS\ARRV1.TIF,RUA DAS ARREGADAS,MAIA,MILHEIRÓS,C9,ARREGADAS (VIADUTO),Arregadas (Viaduto),,,,,,-8.574560371221912,41.219858903160535
115,5154,ARRV2,162986.11280849,472404.90206745,postalete, , ,D:\SIG\FOTOS\ARRV2.TIF,RUA DAS ARREGADAS,MAIA,MILHEIRÓS,C9,ARREGADAS (VIADUTO),Arregadas (Viaduto),,,,,,-8.574548266366635,41.21998109371991
116,5155,ARS2,162216.10526558,468014.48631278,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\ARS 2.TIF,RUA COSTA CABRAL,PORTO,PARANHOS,C6,AREOSA,Areosa,10011300070,RCCAB0,10,00070,0113,-8.583458631836848,41.18041440539527
117,5156,ARS3,162206.88037296,468029.47412586,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\ARS 3.TIF,RUA COSTA CABRAL,PORTO,PARANHOS,C6,AREOSA,Areosa,10011300071,RCCAB0,10,00071,0113,-8.583569497279441,41.18054892394483
118,5157,ARS4,162286.13942417,468032.75903953,com painel abrigo, ,1,D:\SIG\FOTOS\ARS 4.TIF,VIA RAPIDA ESTRADA DA CIRCUNVA,PORTO,PARANHOS,C6,AREOSA,Areosa,10011300015,ECIRC0,10,00015,0113,-8.58262512126469,41.18058220064731
119,5158,ARS5,162082.72539199,468087.22661673,abrigo, ,1,D:\SIG\FOTOS\ARS 5.TIF,VIA RAPIDA ESTRADA DA CIRCUNVA,MAIA,PEDROUÇOS,C6,AREOSA,Areosa,,,,,,-8.585052712183922,41.18106311421214
120,5159,ARS7,162067.91999912,468128.66000369,postalete, , ,D:\SIG\FOTOS\ARS 7.TIF,RUA GONCALO MENDES DA MAIA,MAIA,PEDROUÇOS,C9,AREOSA,Areosa,,,,,,-8.585231730275806,41.1814354845409
121,5160,ARS8,162270.24882893,468043.65263717,com painel abrigo,443, ,D:\SIG\FOTOS\ARS 8.TIF,VIA RAPIDA ESTRADA DA CIRCUNVA,PORTO,PARANHOS,C6,AREOSA,Areosa,10011300016,ECIRC0,10,00016,0113,-8.582815172031447,41.18067954507172
122,5161,AVLM2,164082.52413502,470801.74413149,com painel abrigo, ,1,D:\SIG\FOTOS\AVLM2.TIF,AVENIDA DO LIDADOR DA MAIA,MAIA,ÁGUAS SANTAS,C9,AV.LIDADOR DA MAIA,Av. Lidador da Maia,,,,,,-8.561379353210121,41.20559579511575
123,5162,AVM1,153337.93367696,467806.0185055,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\AVM 1.TIF,RUA BRITO CAPELO,MATOSINHOS,MATOSINHOS,C3,AV. MENÉRES,Av. Menéres,,,,,,-8.68924816454556,41.17807301327786
124,5163,MTSP2,153239.99246385,467968.90644496,postalete, , ,D:\SIG\FOTOS\AVR 2.TIF,RUA ROBERTO IVENS,MATOSINHOS,MATOSINHOS,C3,MATOSINHOS PRAIA,Matosinhos Praia,,,,,,-8.690427803510545,41.1795339518064
125,5164,MTSP1,153269.45153627,468034.30900719,PARAGEM SEM ABRIGO, ,1,D:\SIG\FOTOS\AVR 3.TIF,AVENIDA REPUBLICA,MATOSINHOS,MATOSINHOS,C3,MATOSINHOS PRAIA,Matosinhos Praia,,,,,,-8.690081739393191,41.180124525254705
126,5165,AVTE1,159875.66583972,467620.21250614,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\AVTE1.TIF,RUA CONDE AVRANCHES,PORTO,PARANHOS,C6,ALMEIDA VALENTE,Almeida Valente,10011300066,RCAVR0,10,00066,0113,-8.61132504891899,41.17675157602057
127,5166,AVTE2,159860.89500992,467629.41667018,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\AVTE2.TIF,RUA CONDE AVRANCHES,PORTO,PARANHOS,C6,ALMEIDA VALENTE,Almeida Valente,10011300067,RCAVR0,10,00067,0113,-8.611501675548785,41.176833715768836
128,5167,AZ,159677.97355308,468157.89505124,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\AZ.TIF,RUA AMIAL,PORTO,PARANHOS,C6,AZENHA,Azenha,10011300048,RAMIA0,10,00048,0113,-8.613716405723462,41.18158297864146
129,5168,AZC1,155744.46333867,468025.35666576,com painel abrigo, , ,D:\SIG\FOTOS\AZC 1.TIF,RUA DR. EDUARDO TORRES,MATOSINHOS,SENHORA DA HORA,C3,AZENHA DE CIMA,Azenha de Cima,,,,,,-8.66058533370324,41.18018343598444
130,5169,AZC2,155776.78417191,467997.99917094,postalete, , ,D:\SIG\FOTOS\AZC 2.TIF,RUA DR. EDUARDO TORRES,MATOSINHOS,SENHORA DA HORA,C3,AZENHA DE CIMA,Azenha de Cima,,,,,,-8.660198169499301,41.17993888732866
131,5170,AZN1,160186.39407794,471008.70753206,postalete, , ,D:\SIG\FOTOS\AZN 1.TIF,RUA SANTOS DIAS,MAIA,GUEIFÃES,C5,AZENHA NOVA,Azenha Nova,,,,,,-8.607842960381326,41.207276722700946
132,5171,AZN2,160205.88725168,471052.38783113,com painel abrigo, , ,D:\SIG\FOTOS\AZN 2.TIF,RUA PONTE DA PEDRA,MAIA,GUEIFÃES,C5,AZENHA NOVA,Azenha Nova,,,,,,-8.607613401042538,41.20767097838056
133,5172,AZV,163617.31182598,464805.39751841,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\AZV.TIF,RUA AZEVEDO,PORTO,CAMPANHÃ,C6,AZEVEDO,Azevedo,03011300041,RAZEV0,03,00041,0113,-8.566568483703652,41.151584014797486
134,5173,BAR1,153297.10190158,473006.76543005,com painel abrigo, , ,D:\SIG\FOTOS\BAR 1.TIF,RUA ORIENTAL,MATOSINHOS,PERAFITA,C4,BARÃO,Barão,,,,,,-8.690133097163526,41.22489684647836
135,5174,BAR2,153158.39512723,472958.17757137,com painel abrigo, , ,D:\SIG\FOTOS\BAR 2.TIF,RUA ORIENTAL,MATOSINHOS,PERAFITA,C4,BARÃO,Barão,,,,,,-8.691783509219553,41.22445133316417
136,5175,BARR1,167072.60657703,473843.80506008,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\BARR1.TIF,RUA VICENTE,VALONGO,ALFENA,N16,BARREIRA,Barreira,,,,,,-8.525895575297445,41.233113672280496
137,5176,BARR2,167059.33499785,473835.58083495,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\BARR2.TIF,RUA VICENTE,VALONGO,ALFENA,N16,BARREIRA,Barreira,,,,,,-8.526053423473538,41.23303907944399
138,5177,BAT1,152745.02168147,470906.61834325,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\BAT 1.TIF,RUA OSCAR DA SILVA,MATOSINHOS,LEÇA DA PALMEIRA,C4,BATARIA,Bataria,,,,,,-8.696554041941633,41.20595552449401
139,5178,BAT2,152723.62769816,470881.01977379,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\BAT 2.TIF,RUA OSCAR DA SILVA,MATOSINHOS,LEÇA DA PALMEIRA,C4,BATARIA,Bataria,,,,,,-8.696807116601134,41.20572379021481
140,5179,BBL,156982.32103271,465513.75999737,postalete, , ,D:\SIG\FOTOS\BBL.TIF, ,PORTO,LORDELO DO OURO,C1,BAIRRO BESSA LEITE,Bairro Bessa Leite,06011300009,RARGE0,06,00009,0113,-8.645656395076923,41.15763635319404
141,5180,BCG,159309.20125529,466164.52567962,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\BCG.TIF,RUA CONSTITUICAO,PORTO,CEDOFEITA,C1,BCG,BCG,04011300006,RCONS0,04,00006,0113,-8.617978644755622,41.163616330389665
142,5181,BCH1,157169.263324,458393.53167745,postalete,249, ,D:\SIG\FOTOS\BCH 1.TIF,RUA MANUEL ALVES REIS,VILA NOVA DE GAIA,VALADARES,S2,BICHEIROS,Bicheiros,,,,,,-8.642930959744454,41.09353596829407
143,5182,BCH2,157182.16000212,458377.95999899,com painel abrigo,249, ,D:\SIG\FOTOS\BCH 2.TIF,RUA MANUEL ALVES REIS,VILA NOVA DE GAIA,VALADARES,S2,BICHEIROS,Bicheiros,,,,,,-8.642776377899093,41.093396441804025
144,5183,BCP1,163301.89441125,465454.25811458,com painel abrigo, ,1,D:\SIG\FOTOS\BCP 1.TIF,VIA RAPIDA ESTRADA DA CIRCUNVA,PORTO,CAMPANHÃ,C6,BR.CERCO PORTO,Br. Cerco Porto,03011300029,ICVNO0,03,00029,0113,-8.570364874612789,41.15741213428583
145,5184,BCP2,163313.36799975,465448.81760432,com painel abrigo, ,1,D:\SIG\FOTOS\BCP 2.TIF,RUA TIRARES,PORTO,CAMPANHÃ,C6,BR.CERCO PORTO,Br. Cerco Porto,03011300111,RTIRA0,03,00111,0113,-8.570227857554134,41.15736366823347
146,5185,CSSR1,159960.30077949,461380.0248189,com painel abrigo, , ,D:\SIG\FOTOS\BD  1.TIF,RUA SOARES DOS REIS,VILA NOVA DE GAIA,MAFAMUDE,S8,C. SAÚDE S. REIS,C. Saúde S. Reis,,,,,,-8.609907726163872,41.12056924390489
147,5186,CSSR2,159972.46244248,461379.71729887,com painel abrigo, , ,D:\SIG\FOTOS\BD  2.TIF,RUA SOARES DOS REIS,VILA NOVA DE GAIA,MAFAMUDE,S8,C. SAÚDE S. REIS,C. Saúde S. Reis,,,,,,-8.609762900707022,41.120567076512735
148,5187,JZOO2,158385.87007067,473890.69568491,postalete, , ,D:\SIG\FOTOS\BDCH1.TIF,RUA DA IGREJA,MAIA,MAIA,C5,JARDIM ZOOLÓGICO,Jardim Zoológico,,,,,,-8.629506392879192,41.233134789940436
149,5188,JZOO1,158386.75537645,473925.643638,com painel abrigo, , ,D:\SIG\FOTOS\BDCH2.TIF,RUA DA IGREJA,MAIA,MAIA,C5,JARDIM ZOOLÓGICO,Jardim Zoológico,,,,,,-8.629498222836268,41.23344950046699
150,5189,BELA1,156739.20011438,458406.35341828,postalete, , ,D:\SIG\FOTOS\BELA1.TIF,RUA BELIDE,VILA NOVA DE GAIA,VALADARES,S2,BELA,Bela,,,,,,-8.648050391559645,41.09362856847766
151,5190,BELA2,156740.20840826,458393.7396991,postalete, , ,D:\SIG\FOTOS\BELA2.TIF,RUA BELIDE,VILA NOVA DE GAIA,VALADARES,S2,BELA,Bela,,,,,,-8.648037500740482,41.09351504824215
152,5191,BFAL1,162882.75600037,465590.13224806,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\BFAL1.TIF,RUA FALCAO,PORTO,CAMPANHÃ,C6,BR. FALCÃO,Br. Falcão,03011300068,RFALC0,03,00068,0113,-8.575366517526598,41.15861642850799
153,5192,BFAL2,162885.09772126,465623.46404841,PARAGEM COM ABRIGO J, , ,D:\SIG\FOTOS\BFAL2.TIF,RUA FALCAO,PORTO,CAMPANHÃ,C6,BR. FALCÃO,Br. Falcão,03011300069,RFALC0,03,00069,0113,-8.575340644663635,41.1589166555594
154,5193,BFB,162123.65336764,466732.50622668,com painel abrigo, , ,D:\SIG\FOTOS\BFB.TIF,RUA PROF. BONFIM BARREIROS,PORTO,CAMPANHÃ,C6,BONFIM BARREIROS,Bonfim Barreiros,03011300090,RPBBA0,03,00090,0113,-8.58448101083521,41.16886717394699
155,5194,BFM1,161231.10926668,464672.69203962,postalete, , ,D:\SIG\FOTOS\BFM 1.TIF,RUA BONFIM,PORTO,BONFIM,C1,BONFIM,Bonfim,02011300006,RBONF0,02,00006,0113,-8.594985428647497,41.15027834745776
156,5195,BFM2,161246.37744971,464683.3621596,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\BFM 2.TIF,RUA BONFIM,PORTO,BONFIM,C1,BONFIM,Bonfim,02011300007,RBONF0,02,00007,0113,-8.594804230280715,41.1503751535492
157,5196,BFM4,161260.33948191,464715.598361,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\BFM 4.TIF,RUA BONFIM,PORTO,BONFIM,C1,BONFIM,Bonfim,02011300008,RBONF0,02,00008,0113,-8.59463995546118,41.1506660769863
158,5197,BFM8,161289.8037525,464804.99267383,PARAGEM SEM ABRIGO, , ,D:\SIG\FOTOS\BFM 8.TIF,RUA BARROS LIMA,PORTO,BONFIM,C1,BONFIM,Bonfim,02011300004,RBLIM0,02,00004,0113,-8.594294633857942,41.15147239352114
159,5198,BGJ1,156583.75729197,462525.22304588,postalete, , ,D:\SIG\FOTOS\BGJ 1.TIF,RUA BELGICA,VILA NOVA DE GAIA,CANIDELO,S1,BRAGA JÚNIOR,Braga Júnior,,,,,,-8.650192480339582,41.13070651974669
160,5199,BGJ2,156648.31463414,462520.20880238,com painel abrigo,1902, ,D:\SIG\FOTOS\BGJ 2.TIF,RUA BELGICA,VILA NOVA DE GAIA,CANIDELO,S1,BRAGA JÚNIOR,Braga Júnior,,,,,,-8.649423345834718,41.13066483560686
161,5200,COD,167592.59999829,475121.86053059,PARAGEM COM ABRIGO J, ,1,D:\SIG\FOTOS\COD.TIF,RUA NOSSA SR AMPARO,VALONGO,ALFENA,N16,LGO DA CODICEIRA,Lgo da Codiceira,,,,,,-8.51976168628756,41.24464225581223
