,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
34,35,ABOAV0,,226072500, ,Restaurante Poivron Rouge,Capacidade para 150 pessoas; Especialidades da Casa: Sopa de abóbora com bacon fumado em tabaco de cozinha,06080100004,06,0801,00004,1245628800000,rafaeldias,1466,Aberto  das 12:30 ás 15:30 e das 19:30 ás 22:30,-8.640866225285302,41.16001765631002
35,36,RFTAU0,,222004539, ,Restaurante Postigo do Carvão,Capacidade para 120 pessoas; Especialidades da Casa: Feijoada de marisco; Arroz de costelinhas; Posta à Mirandesa,13080100004,13,0801,00004,1245628800000,rafaeldias,24,Aberto  das 18:00 ás 2:00 encerra à Segunda,-8.613711657185492,41.14067802440529
36,37,PDFLE0,,222003074, ,Restaurante Portuense,Capacidade para 124 pessoas; Especialidades da Casa: Bacalhau à moda da casa; Feijoada à transmontana; Tripas à portuguesa; Rojões à moda do Minho,15080100005,15,0801,00005,1245628800000,rafaeldias,162,Aberto  das 9:00 ás 21:00 encerra ao Domiingo,-8.612953545664395,41.14843259638351
37,38,TCONG0,,222059790, ,Restaurante Novo Paris,Capacidade para 90 pessoas; Especialidades da Casa: Bacalhau à novo Paris; Polvo à lagareiro; Cozido à portuguesa; Rojoada à Ponte de Lima,12080100026,12,0801,00026,1245628800000,rafaeldias,19,Aberto  das 9:00 ás 23:00 encerra ao Domingo,-8.61039823500082,41.147101807840215
38,39,RMIRA2,,223325340, ,Restaurante Petisqueira dos Arcos Alcool 1913, ,08080100001,08,0801,00001,1245628800000,rafaeldias,7, ,-8.61896835715421,41.141885821574384
39,40,ROURO0,,226170506, ,Restaurante Nhac! Nhac!,Capacidade para 24 pessoas; Especialidades da Casa: Cozinha Italiana e Portuguesa; Vários tipos de pizza,06080100006,06,0801,00006,1245628800000,rafaeldias,274,Aberto das 12:30 ás 14:30 e das 19:30 ás 23:30,-8.65072800449538,41.148117859657
40,41,RMONC0,,226003017, ,Restaurante Vais e Cais,Capacidade para 42 pessoas; Especialidades da Casa: Caril de gambas,07080100007,07,0801,00007,1245628800000,rafaeldias,66,Aberto das 12:30 ás 15:00  e das 19:30 ás 23:00 encerra ao Domingo,-8.626459583963474,41.144907440424866
41,42,RHERO0,,225363388, ,Restaurante A Cozinha do Manel,Capacidade para 59 pessoas; Especialidades da Casa: Arroz de Pato; Bacalhau com broa; Vitela assada no forno,02080100013,02,0801,00013,1245628800000,rafaeldias,215,Aberto das 12:30 ás 15:00 e das 19:30 ás 22:00 encerra ao Domingo,-8.593170465717769,41.146333290234935
42,43,RCALE0,,226075059, ,Restaurante Rio's,Capacidade para 100 pessoas; Especialidades da Casa:Buffet executivo,07080100008,07,0801,00008,1245628800000,rafaeldias,156,Aberto das 12:30 ás 15:00 e das 19:30 ás 22:30,-8.629821077035173,41.15264318944952
43,44,RCANA0,,222006418, ,Restaurante Vitorino,Capacidade para 40 pessoas; Especialidades da Casa: Bacalhau; Pataniscas de bacalhau,13080100005,13,0801,00005,1245628800000,rafaeldias,44,Aberto das 12:30 ás 15:00 e das 19:30 ás 23:00,-8.612549261063638,41.1406420848715
