	objectid	name	cod_gis	x	y
103	104	Igreja de Jesus Cristo dos Santos dos Últimos Dias	06050100008	-8.66379519704066	41.15894318646774
104	105	Igreja Evangélica Baptista de Cedofeita	04050100011	-8.617185193191622	41.15060046423564
105	106	Igreja Evangélica Metodista Portuguesa	04050100012	-8.614930434831825	41.151655250295335
106	107	Igreja do Santíssimo Sacramento	07050100003	-8.63590824969002	41.15804063195184
107	108	Igreja Evangélica - Ministério Comunidade Cristã	04050100013	-8.631894082262132	41.15998493867304
108	109	Igreja de Cristo	04050100015	-8.633244623349412	41.158997534315965
109	110	Igreja de Deus Pentecostal em Portugal	04050100016	-8.616048013860404	41.16433623096071
110	111	Igreja Universal do Reino de Deus	04050100017	-8.618627289418919	41.15410409036508
111	112	Testemunhas de Jeová 	04050100018	-8.615883754702566	41.154563620479635
112	113	Congregação Cristã em Portugal	12050100010	-8.606153416569928	41.15934078959917
113	114	"Igreja de Nossa Senhora da Esperança
"	14050100004	-8.602414389394559	41.14533996265605
114	115	"Oratório da Capela de S. Sebastião
"	14050100005	-8.61137810102842	41.14321697959559
115	116	"Sé Catedral
"	14050100006	-8.611428595054484	41.1427479236875
116	117	Capela do Recolhimento da Porta do Sol (da Nossa senhora das Meninas Desamparadas)	14050100007	-8.608033143312909	41.14306816090609
117	118	Capela da Nossa Senhora das Verdades	14050100008	-8.611339444257283	41.141654191998306
118	119	Igreja Nossa Senhora de Fátima do Amial (Igrejas dos Capuchinhos)	10050100001	-8.616236798098196	41.18210007807403
119	120	Igreja de S. Veríssimo de Paranhos	10050100002	-8.605504458728932	41.173951151229616
120	121	Igreja  de Nossa Senhora da Areosa	10050100003	-8.587537474627153	41.175715041671495
121	122	Capela da Senhora da Saúde ( Capela do Campo Lindo)	10050100004	-8.608134034913354	41.169575401285805
122	123	Capela do do Bairro do Amial	10050100005	-8.619604281430682	41.17513447910917
123	124	Capela da Senhora da Conceição	10050100006	-8.61619801427128	41.16559764161802
124	125	"Igreja do Bonfim
"	02050100001	-8.593041308935252	41.151515692915524
125	126	Igreja de S. António das Antas	02050100002	-8.590006229184482	41.16432404014827
126	127	Capela  Nossa Senhora da Saúde	02050100003	-8.58910378430059	41.147033126155726
127	128	Igreja do Colégio dos Orfãos do Porto	02050100004	-8.59529060788122	41.14134600043585
128	129	Capela da Senhora da Conceição	02050100005	-8.602887529945377	41.16113729312969
129	130	Capela das Escravas do Sagrado Coração de Jesus	02050100006	-8.596234917056922	41.160611384651816
130	131	Capela de S. Crispim (Irmandade de S. Crispim e S. Crispiano)	02050100007	-8.598885390271231	41.15852668955683
131	132	Capela do Senhor Jesus da Boa Vista	02050100008	-8.594205695142975	41.155903444748915
132	133	Igreja de Nossa Senhora de Campanhã	03050100002	-8.573638189817247	41.15435576143707
133	134	Igreja de S. Pedro de Azevedo	03050100003	-8.573694209405819	41.14713593918987
134	135	Capela de Lumbrales (antigo Internato Feminino) - Instituto Municipal Condessa de Lumbrales	03050100004	-8.583925063658915	41.17135100315697
135	136	Capela de S. António de Contumil	03050100005	-8.580005798402931	41.170399155355035
136	137	Capela de S. João de Deus	03050100006	-8.571855439351033	41.178302185576236
137	138	Capela de Nossa Senhora do Calvário	03050100007	-8.567706331384299	41.16001178251977
138	139	Capela do Bairro do Lagarteiro	03050100008	-8.569465233322534	41.152958690461816
139	140	Capela do Senhor da Pedra ( Capela do Monte do Outeiro do Tine)	03050100009	-8.568652575714518	41.150008559026695
140	141	Igreja de Nossa Senhora do Calvário	03050100011	-8.570737863777577	41.16417404700423
141	142	Capela de Francos	11050100007	-8.636711346428639	41.16597527517487
142	143	Capela dos Salesianos	12050100009	-8.602989987266836	41.14897497866817
